412.82	386.45
447.64	386.45
309.51	386.45
356.74	386.45
165379.81	137447.87
129.02	159.65
433.55	129.02
273.96	129.02
4.91	17.31
10.56	19.30
19.30	6.65
6.65	17.31
17.31	8.17
87290.77	61697.58
64796.05	87290.77
61389.86	87290.77
109535.06	87290.77
455886.89	412503.51
1157.48	526.89
585.23	1157.48
47382.11	29027.53
1108.76	659.84
1192.73	1108.76
112.62	201.95
238.41	92.39
11.85	11.13
20.21	11.13
31.03	11.13
31.91	11.13
8.28	11.13
53.52	56.88
281813.28	130483.23
334.62	556.69
4.95	7.30
141.74	111.50
137.96	199.34
111.50	178.22
178.22	199.34
614.00	391.90
614.00	614.00
1622.95	614.00
13.64	22.76
13.20	13.64
3096.41	1059.97
25.71	17.17
95.39	37.52
14.30	95.39
37.52	25.71
24.26	32.75
66.89	116.98
1556577.41	1026843.41
3711697.96	1556577.41
175.74	176.44
538.08	175.74
290.32	176.44
88698.65	56897.12
2487.42	1191.54
16317.61	23225.36
30760.91	25745.11
51534.15	16317.61
43001.92	16317.61
25745.11	51534.15
108.74	253.41
298.87	153.55
253.41	153.55
1154294.62	264871.48
3429757.10	1154294.62
901.45	488.82
488.82	665.14
30791.69	22925.38
22925.38	10561.81
8595.55	10561.81
1191.54	3666.53
4003.80	3666.53
2237.24	3666.53
182772.96	201995.36
22.00	20.97
19.30	70.04
4204.88	1682.44
9.38	6.65
28.25	29.58
196614.45	138275.04
138275.04	67104.07
67507.91	67104.07
67104.07	54122.21
333700.78	497823.06
497823.06	142914.24
1711.29	1326.10
3644.59	2804.55
3.17	1.29
239.13	92.39
12.99	18.93
10498.63	13386.47
179153.81	119372.01
119372.01	76191.10
44311.52	77885.88
53263.15	77885.88
77885.88	76191.10
84288.44	76191.10
51225.87	57699.28
57699.28	46351.09
259626.67	105450.82
105450.82	80418.54
79.68	134.83
134.83	78.18
211927.60	97246.08
15093.21	15459.82
15459.82	7677.12
5681.67	13725.35
445.41	525.32
2892.86	2239.48
7926.76	8857.32
8857.32	3459.92
5255.34	7926.76
3261.69	8857.32
8552.68	5255.34
85647.90	50463.22
36351.84	85647.90
67778.48	85647.90
173685.24	78905.01
80017.45	173685.24
50463.22	80017.45
23.31	8.78
34.95	13.80
8.78	13.80
995499.60	1168229.60
198.74	159.49
159.49	78.41
123871.50	33189.87
177016.81	34132.32
65775.32	33189.87
34132.32	65775.32
33189.87	25059.29
92134.06	123871.50
3026.01	1761.64
1207.13	1761.64
2143.08	1365.12
1761.64	1027.62
1793.64	2143.08
1365.12	1761.64
14072.81	21982.46
7487.57	14072.81
12028.09	9877.35
49761.66	56500.23
56500.23	34578.94
107.99	198.15
12964.89	125116.43
125116.43	124616.96
50766.91	21396.87
21396.87	59575.52
7398.26	5585.90
59575.52	7398.26
17.87	30.02
10.87	52.98
13.59	33.68
30.54	33.68
18.03	16.14
16.14	17.87
33.68	16.14
14.88	16.14
52.98	25.18
30.02	10.87
411.58	616.46
616.46	261.39
1203.51	5069.51
1472.92	1203.51
1147.11	1562.43
5069.51	1562.43
1115.44	1147.11
130.19	27.99
21.52	29.46
27.99	21.52
193.64	228.61
228.61	127.36
414.06	313.88
172991.89	23225.36
23225.36	22971.28
58688.55	172991.89
35489.78	23225.36
239.13	3310.98
2271.06	239.13
